sim,incl_00,incl_10,incl_20,incl_30,incl_40,incl_50,incl_60,incl_70,incl_80,-vac1-ratio-00,-vac1-ratio-10,-vac1-ratio-20,-vac1-ratio-30,-vac1-ratio-40,-vac1-ratio-50,-vac1-ratio-60,-vac1-ratio-70,-vac1-ratio-80
161,0,1,0,1,0,0,0,0,1,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
162,0,1,0,1,0,0,0,1,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
163,0,1,0,1,0,0,0,1,1,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25
164,0,1,0,1,0,0,1,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
165,0,1,0,1,0,0,1,0,1,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25
166,0,1,0,1,0,0,1,1,0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0
167,0,1,0,1,0,0,1,1,1,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
168,0,1,0,1,0,1,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
169,0,1,0,1,0,1,0,0,1,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25
170,0,1,0,1,0,1,0,1,0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0
171,0,1,0,1,0,1,0,1,1,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2
172,0,1,0,1,0,1,1,0,0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0
173,0,1,0,1,0,1,1,0,1,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2
174,0,1,0,1,0,1,1,1,0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0
175,0,1,0,1,0,1,1,1,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
176,0,1,0,1,1,0,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
177,0,1,0,1,1,0,0,0,1,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25
178,0,1,0,1,1,0,0,1,0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0
179,0,1,0,1,1,0,0,1,1,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2
180,0,1,0,1,1,0,1,0,0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0
181,0,1,0,1,1,0,1,0,1,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2
182,0,1,0,1,1,0,1,1,0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0
183,0,1,0,1,1,0,1,1,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
184,0,1,0,1,1,1,0,0,0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0
